0:0:0:0:0:0:0:1 - - [11/Jun/2024:11:59:54 +0530] "GET /tbis/api/report/data?id=63&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=c.customer_erp_code%20,p.supplydate,p.supplytime,p.unloadingdoc%20%20&sord=desc&_search=false HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:00:05 +0530] "POST /tbis/api/picklist/uploadpicklist HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:00:05 +0530] "GET /tbis/api/report/data?id=63&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=c.customer_erp_code%20,p.supplydate,p.supplytime,p.unloadingdoc%20%20&sord=desc&_search=false HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:00:18 +0530] "POST /tbis/api/picklist/uploadpicklist HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:00:18 +0530] "GET /tbis/api/report/data?id=63&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=c.customer_erp_code%20,p.supplydate,p.supplytime,p.unloadingdoc%20%20&sord=desc&_search=false HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:04:37 +0530] "GET /tbis/api/users/logout HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:05:53 +0530] "POST /tbis/api/users/login HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:05:53 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=loginlocations HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:05:53 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=location HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:05:53 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=customer HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:05:53 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=asndatadashboard HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:05:53 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=picklistdashboard HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:05:53 +0530] "GET /tbis/api/dashboard/tbisdash?fromdate=11-06-2024&todate=11-06-2024 HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:05:53 +0530] "GET /tbis/api/ajax?ic=0&id=usermenu&ro=true HTTP/1.1" 200 7075
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:05:53 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=asndatadashboard HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:05:53 +0530] "GET /tbis/api/dashboard/tbisdash?fromdate=11-06-2024&todate=11-06-2024 HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:05:53 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=location HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:05:53 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=customer HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:05:53 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=picklistdashboard HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:05:56 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=customer HTTP/1.1" 200 382
