0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/report/metadata?id=74 HTTP/1.1" 200 2253
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/report/metadata?id=79 HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/report/metadata?id=81 HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/report/metadata?id=77 HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/report/metadata?id=78 HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/report/metadata?id=80 HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=linespaceloc&customerid=51 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=customerlinerack&customerid=51 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=customerlines&customerid=51 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=customerparts&customerid=51 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=softwares&customerid=51 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=manpowers&customerid=51 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=linerackloc&customerid=51 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=contacts&entityid=51&entitytypeid=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/customer/customersublocationspace?sublocationid=1&customerid=51 HTTP/1.1" 200 152446
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=picklistcustparts&customerid=51 HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/report/data?id=81&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=customerlinerackid&sord=asc&sord=desc&_search=false&customerid=51 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/report/data?id=54&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=partdescription&sord=asc&sord=desc&_search=false&customerid=51 HTTP/1.1" 200 1103
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/report/data?id=78&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=contactid&sord=asc&sord=desc&_search=false&entityid=51&entitytypeid=1 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/report/data?id=74&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=contractid&sord=asc&sord=desc&_search=false&entityid=51&entitytypeid=1 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/report/data?id=79&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=softwareid&sord=asc&sord=desc&_search=false&customerid=51 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/report/data?id=72&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=documentid&sord=asc&sord=desc&_search=false&entityid=51&entitytypeid=1 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=contracts&entityid=51&entitytypeid=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/report/data?id=77&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=addressid&sord=asc&sord=desc&_search=false&entityid=51&entitytypeid=1 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/report/data?id=80&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=manpowerid&sord=asc&sord=desc&_search=false&customerid=51 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=documents&entityid=51&entitytypeid=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:55 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=address&entityid=51&entitytypeid=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:21:27 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=deliverylocation HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:21:27 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=unloaddoc HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:21:27 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=location HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:21:27 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=customer HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:21:27 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=packing HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:21:27 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=plants HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:21:27 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=docks HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:21:27 +0530] "GET /tbis/api/report/metadata?id=42 HTTP/1.1" 200 7232
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:21:27 +0530] "GET /tbis/api/report/data?id=42&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=partno&sord=asc&sord=desc&_search=false HTTP/1.1" 200 11236
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:26 +0530] "GET /tbis/api/parts/master?code=3398 HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:26 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=finishgoodspart HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:26 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=deliverylocationdtl&&partid=3398 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:26 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=partsassemblydtl&partid=3398 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:30 +0530] "GET /tbis/api/report/metadata?id=42 HTTP/1.1" 200 7232
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:30 +0530] "GET /tbis/api/report/data?id=42&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=partno&sord=asc&sord=desc&_search=false HTTP/1.1" 200 11236
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:34 +0530] "GET /tbis/api/parts/master?code=3401 HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:34 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=finishgoodspart HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:34 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=deliverylocationdtl&&partid=3401 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:34 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=partsassemblydtl&partid=3401 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:36 +0530] "GET /tbis/api/report/metadata?id=42 HTTP/1.1" 200 7232
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:36 +0530] "GET /tbis/api/report/data?id=42&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=partno&sord=asc&sord=desc&_search=false HTTP/1.1" 200 11236
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:41 +0530] "GET /tbis/api/parts/master?code=3380 HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:41 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=finishgoodspart HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:41 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=partsassemblydtl&partid=3380 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:41 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=deliverylocationdtl&&partid=3380 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:43 +0530] "GET /tbis/api/report/metadata?id=42 HTTP/1.1" 200 7232
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:43 +0530] "GET /tbis/api/report/data?id=42&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=partno&sord=asc&sord=desc&_search=false HTTP/1.1" 200 11236
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:45 +0530] "GET /tbis/api/parts/master?code=3404 HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:45 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=finishgoodspart HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:45 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=deliverylocationdtl&&partid=3404 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:45 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=partsassemblydtl&partid=3404 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:47 +0530] "GET /tbis/api/report/metadata?id=42 HTTP/1.1" 200 7232
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:47 +0530] "GET /tbis/api/report/data?id=42&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=partno&sord=asc&sord=desc&_search=false HTTP/1.1" 200 11236
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:41:59 +0530] "GET /tbis/api/report/data?id=42&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=partno&sord=asc&sord=desc&partno=27521&_search=true HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:02 +0530] "GET /tbis/api/parts/master?code=3383 HTTP/1.1" 200 900
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:02 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=finishgoodspart HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:02 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=partsassemblydtl&partid=3383 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:02 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=deliverylocationdtl&&partid=3383 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:35 +0530] "GET /tbis/api/report/metadata?id=55 HTTP/1.1" 200 5060
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:35 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=vehicletypes HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:35 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=warehouse HTTP/1.1" 200 55
